venue_id,venue_name_recorded,city_id,city,state_region,canonical_venue_name,latitude,longitude,geocode_status
25,Shoreline Amphitheater,17,Mountain View,California,Shoreline Amphitheater,,,unresolved
26,Fox Theater,18,Oakland,California,Fox Theater,,,unresolved
27,Oracle Arena,18,Oakland,California,Oracle Arena,,,unresolved
28,Hotel Zoso Woodstock Ballroom,19,Palm Springs,California,Hotel Zoso Woodstock Ballroom,,,unresolved
29,Plaza Theatre,19,Palm Springs,California,Plaza Theatre,,,unresolved
30,Lagunitas,20,Peteluma,California,Lagunitas,,,unresolved
31,Ace of Spades,21,Sacramento,California,Ace of Spades,,,unresolved
32,Americas Cup Pavilion,22,San Francisco,California,Americas Cup Pavilion,,,unresolved
33,Bill Graham Civic Auditorium,22,San Francisco,California,Bill Graham Civic Auditorium,,,unresolved
34,Bottom of the Hill,22,San Francisco,California,Bottom of the Hill,,,unresolved
35,California Academy of Sciences,22,San Francisco,California,California Academy of Sciences,,,unresolved
36,Fillmore,22,San Francisco,California,Fillmore,,,unresolved
37,Golden Gate Park,22,San Francisco,California,Golden Gate Park,,,unresolved
38,Great American Music Hall,22,San Francisco,California,Great American Music Hall,,,unresolved
39,Palace of Fine Arts,22,San Francisco,California,Palace of Fine Arts,,,unresolved
40,Regency Ballroom,22,San Francisco,California,Regency Ballroom,,,unresolved
41,Slim’s,22,San Francisco,California,Slim’s,,,unresolved
42,The Fillmore,22,San Francisco,California,The Fillmore,,,unresolved
43,The Independent,22,San Francisco,California,The Independent,,,unresolved
44,The Warfield,22,San Francisco,California,The Warfield,,,unresolved
45,Avaya Stadium,23,San Jose,California,Avaya Stadium,,,unresolved
46,Civic National City,23,San Jose,California,Civic National City,,,unresolved
47,SAP Centre,23,San Jose,California,SAP Centre,,,unresolved
48,The Ritz,23,San Jose,California,The Ritz,,,unresolved
49,Terrapin Station,24,San Rafael,California,Terrapin Station,,,unresolved
50,Levi's Stadium,25,Santa Clara,California,Levi's Stadium,,,unresolved
51,Catalyst,26,Santa Cruz,California,Catalyst,,,unresolved
52,Moe's Alley,26,Santa Cruz,California,Moe's Alley,,,unresolved
53,Rio Theatre,26,Santa Cruz,California,Rio Theatre,,,unresolved
54,The Catalyst,26,Santa Cruz,California,The Catalyst,,,unresolved
55,Mountain Winery,27,Saratoga,California,Mountain Winery,,,unresolved
56,Green Music Center (Sonoma State University),28,Sonoma,California,Green Music Center (Sonoma State University),,,unresolved
57,The Venice West,29,Venice,California,The Venice West,,,unresolved
58,Commodore Ballroom,30,Vancouver,Canada,Commodore Ballroom,,,unresolved
59,Doug Mitchell Thunderbird Sports Center,30,Vancouver,Canada,Doug Mitchell Thunderbird Sports Center,,,unresolved
60,Mission Ballroom,31,Denver,Colorado,Mission Ballroom,,,unresolved
61,Red Rocks Amphitheatre,32,Morrison,Colorado,Red Rocks Amphitheatre,,,unresolved
62,O2 Academy Islington,33,London,England,O2 Academy Islington,,,unresolved
63,Fort Lauderdale Beach,34,Fort Lauderdale,Florida,Fort Lauderdale Beach,,,unresolved
64,Atlantic Station,35,Atlanta,Georgia,Atlantic Station,,,unresolved
65,CenterStage,35,Atlanta,Georgia,CenterStage,,,unresolved
66,Chastain Park Amphitheatre,35,Atlanta,Georgia,Chastain Park Amphitheatre,,,unresolved
67,RiverEdge,36,Aurora,Illinois,RiverEdge,,,unresolved
68,Toyota Park,37,Bridgeview,Illinois,Toyota Park,,,unresolved
69,Brookfield Zoo,38,Brookfield,Illinois,Brookfield Zoo,,,unresolved
70,A Finkl & Sons,39,Chicago,Illinois,A Finkl & Sons,,,unresolved
71,Abbey Pub,39,Chicago,Illinois,Abbey Pub,,,unresolved
72,Aragon Ballroom,39,Chicago,Illinois,Aragon Ballroom,,,unresolved
73,Auditorium Theatre,39,Chicago,Illinois,Auditorium Theatre,,,unresolved
74,Beat Kitchen,39,Chicago,Illinois,Beat Kitchen,,,unresolved
75,Bottom Lounge,39,Chicago,Illinois,Bottom Lounge,,,unresolved
76,Charter One Pavilion at Northerly Island,39,Chicago,Illinois,Charter One Pavilion at Northerly Island,,,unresolved
77,Chicago Theatre,39,Chicago,Illinois,Chicago Theatre,,,unresolved
78,Concord,39,Chicago,Illinois,Concord,,,unresolved
79,Congress Theatre,39,Chicago,Illinois,Congress Theatre,,,unresolved
80,Cubby Bear,39,Chicago,Illinois,Cubby Bear,,,unresolved
81,Division Avenue & Damen,39,Chicago,Illinois,Division Avenue & Damen,,,unresolved
82,Double Door,39,Chicago,Illinois,Double Door,,,unresolved
83,Douglas Park,39,Chicago,Illinois,Douglas Park,,,unresolved
84,Elbo Room,39,Chicago,Illinois,Elbo Room,,,unresolved
85,Empty Bottle,39,Chicago,Illinois,Empty Bottle,,,unresolved
86,Grant Park,39,Chicago,Illinois,Grant Park,,,unresolved
87,House of Blues,39,Chicago,Illinois,House of Blues,,,unresolved
88,House of Blues Second Stage,39,Chicago,Illinois,House of Blues Second Stage,,,unresolved
89,Humboldt Park,39,Chicago,Illinois,Humboldt Park,,,unresolved
90,Huntington Bank Pavilion,39,Chicago,Illinois,Huntington Bank Pavilion,,,unresolved
91,Jay Pritzker Pavilion at Millenium Park,39,Chicago,Illinois,Jay Pritzker Pavilion at Millenium Park,,,unresolved
92,Joe's,39,Chicago,Illinois,Joe's,,,unresolved
93,Kathy's House (neighborhood),39,Chicago,Illinois,Kathy's House (neighborhood),,,unresolved
94,Lakeshore Theatre,39,Chicago,Illinois,Lakeshore Theatre,,,unresolved
95,Lincoln Hall,39,Chicago,Illinois,Lincoln Hall,,,unresolved
96,Lincoln Park Zoo,39,Chicago,Illinois,Lincoln Park Zoo,,,unresolved
97,Loyola Gentile Center,39,Chicago,Illinois,Loyola Gentile Center,,,unresolved
98,Madison Street & Des Plaines Street,39,Chicago,Illinois,Madison Street & Des Plaines Street,,,unresolved
99,Metro,39,Chicago,Illinois,Metro,,,unresolved
100,Navy Pier,39,Chicago,Illinois,Navy Pier,,,unresolved
101,Northerly Island,39,Chicago,Illinois,Northerly Island,,,unresolved
102,Park West,39,Chicago,Illinois,Park West,,,unresolved
103,Radius,39,Chicago,Illinois,Radius,,,unresolved
104,Reggie's,39,Chicago,Illinois,Reggie's,,,unresolved
105,Riviera,39,Chicago,Illinois,Riviera,,,unresolved
106,Riviera Theater,39,Chicago,Illinois,Riviera Theater,,,unresolved
107,Rubloff Auditorium,39,Chicago,Illinois,Rubloff Auditorium,,,unresolved
108,Salt Shed,39,Chicago,Illinois,Salt Shed,,,unresolved
109,Schubas,39,Chicago,Illinois,Schubas,,,unresolved
110,Sheffield & Addison,39,Chicago,Illinois,Sheffield & Addison,,,unresolved
111,Soldier Field,39,Chicago,Illinois,Soldier Field,,,unresolved
112,Subterranean,39,Chicago,Illinois,Subterranean,,,unresolved
113,The Hideout,39,Chicago,Illinois,The Hideout,,,unresolved
114,The Vic,39,Chicago,Illinois,The Vic,,,unresolved
115,Top Note Theatre,39,Chicago,Illinois,Top Note Theatre,,,unresolved
116,Township,39,Chicago,Illinois,Township,,,unresolved
117,Tweeter Center,39,Chicago,Illinois,Tweeter Center,,,unresolved
118,UIC Pavilion,39,Chicago,Illinois,UIC Pavilion,,,unresolved
119,Union Park,39,Chicago,Illinois,Union Park,,,unresolved
120,United Center,39,Chicago,Illinois,United Center,,,unresolved
121,Vic,39,Chicago,Illinois,Vic,,,unresolved
122,WTTW Grainger Studio,39,Chicago,Illinois,WTTW Grainger Studio,,,unresolved
123,Wicker Park/Damen Ave,39,Chicago,Illinois,Wicker Park/Damen Ave,,,unresolved
124,Wrigley Field,39,Chicago,Illinois,Wrigley Field,,,unresolved
125,NIU Convocation Center,40,DeKalb,Illinois,NIU Convocation Center,,,unresolved
126,Ravinia,41,Highland Park,Illinois,Ravinia,,,unresolved
127,Rotary Hill,42,Naperville,Illinois,Rotary Hill,,,unresolved
128,Bradley Field House,43,Peoria,Illinois,Bradley Field House,,,unresolved
129,Coronado Theatre,44,Rockford,Illinois,Coronado Theatre,,,unresolved
130,Allstate Arena,45,Rosemont,Illinois,Allstate Arena,,,unresolved
131,Rosemont Horizon,45,Rosemont,Illinois,Rosemont Horizon,,,unresolved
132,Schaumburg Boomers Stadium,46,Schaumburg,Illinois,Schaumburg Boomers Stadium,,,unresolved
133,First Midwest Bank Amphitheatre,47,Tinley Park,Illinois,First Midwest Bank Amphitheatre,,,unresolved
134,New World Music Theatre,47,Tinley Park,Illinois,New World Music Theatre,,,unresolved
135,Tweeter Center,47,Tinley Park,Illinois,Tweeter Center,,,unresolved
136,Canopy Club,48,Urbana,Illinois,Canopy Club,,,unresolved
137,Odeum,49,Villa Park,Illinois,Odeum,,,unresolved
138,Downtown Winnetka,50,Winnetka,Illinois,Downtown Winnetka,,,unresolved
139,Victory Field,51,Indianapolis,Indiana,Victory Field,,,unresolved
140,Deer Creek Music Center,52,Noblesville,Indiana,Deer Creek Music Center,,,unresolved
141,Morris Performing Arts Center,53,South Bend,Indiana,Morris Performing Arts Center,,,unresolved
142,Harrah's Hidden Cove,54,Council Bluff,Iowa,Harrah's Hidden Cove,,,unresolved
143,Principal Park,55,Des Moines,Iowa,Principal Park,,,unresolved
144,Louisville Slugger Field,56,Louisville,Kentucky,Louisville Slugger Field,,,unresolved
145,Ottobar,57,Baltimore,Maryland,Ottobar,,,unresolved
146,Ram's Head Live,57,Baltimore,Maryland,Ram's Head Live,,,unresolved
147,St Andrew’s Hall,58,Detroit,Michigan,St Andrew’s Hall,,,unresolved
148,The Intersection,59,Grand Rapids,Michigan,The Intersection,,,unresolved
149,The Orbit Room,59,Grand Rapids,Michigan,The Orbit Room,,,unresolved
150,State Theatre,60,Kalamazoo,Michigan,State Theatre,,,unresolved
151,Wings Stadium,60,Kalamazoo,Michigan,Wings Stadium,,,unresolved
152,Meadow Brook Music Festival,61,Rochester Hills,Michigan,Meadow Brook Music Festival,,,unresolved
153,400 Bar,62,Minneapolis,Minnesota,400 Bar,,,unresolved
154,Fine Line Music Café,62,Minneapolis,Minnesota,Fine Line Music Café,,,unresolved
155,Riverport Amphitheatre,63,Maryland Heights,Missouri,Riverport Amphitheatre,,,unresolved
156,Plush,64,St Louis,Missouri,Plush,,,unresolved
157,Big Sky Brewing Amphitheatre,65,Missoula,Montana,Big Sky Brewing Amphitheatre,,,unresolved
158,Freemont Street,66,Las Vegas,Nevada,Freemont Street,,,unresolved
159,House of Blues Las Vegas,66,Las Vegas,Nevada,House of Blues Las Vegas,,,unresolved
160,Las Vegas Fairgrounds,66,Las Vegas,Nevada,Las Vegas Fairgrounds,,,unresolved
161,Mandalay Bay Conference Center,66,Las Vegas,Nevada,Mandalay Bay Conference Center,,,unresolved
162,The Joint / Hard Rock Hotel & Casino,66,Las Vegas,Nevada,The Joint / Hard Rock Hotel & Casino,,,unresolved
163,Virginia Street Brewhouse,67,Reno,Nevada,Virginia Street Brewhouse,,,unresolved
164,Tweeter Center at the Waterfront,68,Camden,New Jersey,Tweeter Center at the Waterfront,,,unresolved
165,Yeatman’s Cove,69,Cincinnati,Ohio,Yeatman’s Cove,,,unresolved
166,Classic Park,70,Eastlake,Ohio,Classic Park,,,unresolved
167,Centennial Terrace,71,Sylvania,Ohio,Centennial Terrace,,,unresolved
168,Arlene Schnitzer Concert Hall,72,Portland,Oregon,Arlene Schnitzer Concert Hall,,,unresolved
169,Crystal Ballroom,72,Portland,Oregon,Crystal Ballroom,,,unresolved
170,Pioneer Square Courthouse,72,Portland,Oregon,Pioneer Square Courthouse,,,unresolved
171,Revolution Hall,72,Portland,Oregon,Revolution Hall,,,unresolved
172,Topaz Farm,72,Portland,Oregon,Topaz Farm,,,unresolved
173,Edgefield Amphitheater,73,Troutdale,Oregon,Edgefield Amphitheater,,,unresolved
174,XL Live,74,Harrisburg,Pennsylvania,XL Live,,,unresolved
175,Southside Works,75,Pittsburgh,Pennsylvania,Southside Works,,,unresolved
176,Orpheum Theatre,76,Memphis,Tennessee,Orpheum Theatre,,,unresolved
177,Ryman Auditorium,77,Nashville,Tennessee,Ryman Auditorium,,,unresolved
178,,78,Austin,Texas,,,,unresolved
179,Ogden Amphitheatre,79,Ogden,Utah,Ogden Amphitheatre,,,unresolved
180,Nissan Pavillion,80,Bristow,Virginia,Nissan Pavillion,,,unresolved
181,White River Amphitheater,81,Auburn,Washington,White River Amphitheater,,,unresolved
182,Wild Buffalo,82,Bellingham,Washington,Wild Buffalo,,,unresolved
183,Edmonds Center for the Arts,83,Edmonds,Washington,Edmonds Center for the Arts,,,unresolved
184,Marymoor Live,84,Redmond,Washington,Marymoor Live,,,unresolved
185,Chop Suey,85,Seattle,Washington,Chop Suey,,,unresolved
186,Climate Pledge Arena,85,Seattle,Washington,Climate Pledge Arena,,,unresolved
187,El Corazon,85,Seattle,Washington,El Corazon,,,unresolved
188,Hidden Hall,85,Seattle,Washington,Hidden Hall,,,unresolved
189,Lumen Field,85,Seattle,Washington,Lumen Field,,,unresolved
190,Madame Lou’s,85,Seattle,Washington,Madame Lou’s,,,unresolved
191,Marymoor Live,85,Seattle,Washington,Marymoor Live,,,unresolved
192,Neptune Theatre,85,Seattle,Washington,Neptune Theatre,,,unresolved
193,Neumo’s,85,Seattle,Washington,Neumo’s,,,unresolved
194,Paramount Theatre,85,Seattle,Washington,Paramount Theatre,,,unresolved
195,Seattle Center,85,Seattle,Washington,Seattle Center,,,unresolved
196,Showbox,85,Seattle,Washington,Showbox,,,unresolved
197,Showbox SODO,85,Seattle,Washington,Showbox SODO,,,unresolved
198,Sunset Tavern,85,Seattle,Washington,Sunset Tavern,,,unresolved
199,T-Mobile Park,85,Seattle,Washington,T-Mobile Park,,,unresolved
200,The Crocodile,85,Seattle,Washington,The Crocodile,,,unresolved
201,The Moore Theatre,85,Seattle,Washington,The Moore Theatre,,,unresolved
202,Tim’s Tavern,85,Seattle,Washington,Tim’s Tavern,,,unresolved
203,Tractor Tavern,85,Seattle,Washington,Tractor Tavern,,,unresolved
204,WAMU Theater,85,Seattle,Washington,WAMU Theater,,,unresolved
205,The Podium,86,Spokane,Washington,The Podium,,,unresolved
206,Alma,87,Tacoma,Washington,Alma,,,unresolved
207,Dune Peninsula,87,Tacoma,Washington,Dune Peninsula,,,unresolved
208,Emerald Queen Casino,87,Tacoma,Washington,Emerald Queen Casino,,,unresolved
209,Chateau Ste Michelle Winery,88,Woodinville,Washington,Chateau Ste Michelle Winery,,,unresolved
210,Alpine Valley,89,East Troy,Wisconsin,Alpine Valley,,,unresolved
211,Waldron County Fairgrounds,90,Elkhorn,Wisconsin,Waldron County Fairgrounds,,,unresolved
212,Resch Center,91,Green Bay,Wisconsin,Resch Center,,,unresolved
213,(Carthage College),92,Kenosha,Wisconsin,(Carthage College),,,unresolved
214,Orpheum Theatre,93,Madison,Wisconsin,Orpheum Theatre,,,unresolved
215,Maier Festival Park Summerfest Grounds,94,Milwaukee,Wisconsin,Maier Festival Park Summerfest Grounds,,,unresolved
216,Marcus Amphitheatre,94,Milwaukee,Wisconsin,Marcus Amphitheatre,,,unresolved
217,Modjeska,94,Milwaukee,Wisconsin,Modjeska,,,unresolved
218,Rave/Eagle's Ballroom,94,Milwaukee,Wisconsin,Rave/Eagle's Ballroom,,,unresolved
219,Riverside Theatre,94,Milwaukee,Wisconsin,Riverside Theatre,,,unresolved
220,Shank Hall,94,Milwaukee,Wisconsin,Shank Hall,,,unresolved
221,Kolf Arena,95,Oshkosh,Wisconsin,Kolf Arena,,,unresolved
